programming_language,tools_programming_languages,salary_monthly_NETO,salary_monthly_BRUTO,cured_programming_languages
html,"HTML, Javascript, Python",63000.0,79000.0,"['html', 'javascript', 'python']"
javascript,"HTML, Javascript, Python",63000.0,79000.0,"['html', 'javascript', 'python']"
python,"HTML, Javascript, Python",63000.0,79000.0,"['html', 'javascript', 'python']"
bash/shell,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
c,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
css,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
html,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
java,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
javascript,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
php,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
python,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
sql,"Bash/Shell, C, CSS, HTML, Java, Javascript, PHP, Python, SQL",102000.0,130000.0,"['bash/shell', 'c', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']"
css,"CSS, HTML, Javascript, SQL, TypeScript",106000.0,140000.0,"['css', 'html', 'javascript', 'sql', 'typescript']"
html,"CSS, HTML, Javascript, SQL, TypeScript",106000.0,140000.0,"['css', 'html', 'javascript', 'sql', 'typescript']"
javascript,"CSS, HTML, Javascript, SQL, TypeScript",106000.0,140000.0,"['css', 'html', 'javascript', 'sql', 'typescript']"
sql,"CSS, HTML, Javascript, SQL, TypeScript",106000.0,140000.0,"['css', 'html', 'javascript', 'sql', 'typescript']"
typescript,"CSS, HTML, Javascript, SQL, TypeScript",106000.0,140000.0,"['css', 'html', 'javascript', 'sql', 'typescript']"
java,"Java, Javascript",44000.0,54000.0,"['java', 'javascript']"
javascript,"Java, Javascript",44000.0,54000.0,"['java', 'javascript']"
javascript,Javascript,62400.0,75000.0,['javascript']
java,"Java, Javascript",37500.0,45000.0,"['java', 'javascript']"
javascript,"Java, Javascript",37500.0,45000.0,"['java', 'javascript']"
javascript,"Javascript, PHP, TypeScript",75000.0,105000.0,"['javascript', 'php', 'typescript']"
php,"Javascript, PHP, TypeScript",75000.0,105000.0,"['javascript', 'php', 'typescript']"
typescript,"Javascript, PHP, TypeScript",75000.0,105000.0,"['javascript', 'php', 'typescript']"
bash/shell,"Assembler, Bash/Shell, C, C#, Python, R",39000.0,47000.0,"['assembler', 'bash/shell', 'c', 'c#', 'python', 'r']"
c,"Assembler, Bash/Shell, C, C#, Python, R",39000.0,47000.0,"['assembler', 'bash/shell', 'c', 'c#', 'python', 'r']"
c#,"Assembler, Bash/Shell, C, C#, Python, R",39000.0,47000.0,"['assembler', 'bash/shell', 'c', 'c#', 'python', 'r']"
python,"Assembler, Bash/Shell, C, C#, Python, R",39000.0,47000.0,"['assembler', 'bash/shell', 'c', 'c#', 'python', 'r']"
r,"Assembler, Bash/Shell, C, C#, Python, R",39000.0,47000.0,"['assembler', 'bash/shell', 'c', 'c#', 'python', 'r']"
